layer,idx,mse_baseline,mse_after_delta
0,0,207.62046813964844,128.41624450683594
0,1,160.84567260742188,133.68801879882812
0,2,66.68094635009766,66.68094635009766
0,3,92.66178131103516,92.66178131103516
0,4,54.130672454833984,53.36323165893555
0,5,177.3144073486328,177.3144073486328
0,6,5.365104675292969,5.365104675292969
0,7,37.40047073364258,27.54588508605957
0,8,34.841434478759766,23.08805274963379
0,9,15.548050880432129,15.414859771728516
0,10,207.62046813964844,128.41624450683594
0,11,160.84567260742188,133.68801879882812
0,12,66.68094635009766,66.68094635009766
0,13,92.66178131103516,92.66178131103516
0,14,54.130672454833984,53.36323165893555
0,15,177.3144073486328,177.3144073486328
1,0,207.62046813964844,109.29498291015625
1,1,160.84567260742188,160.84567260742188
1,2,66.68094635009766,35.237003326416016
1,3,92.66178131103516,66.03190612792969
1,4,54.130672454833984,24.35804557800293
1,5,177.3144073486328,96.3235855102539
1,6,5.365104675292969,5.365104675292969
1,7,37.40047073364258,14.813355445861816
1,8,34.841434478759766,11.057854652404785
1,9,15.548050880432129,15.548050880432129
1,10,207.62046813964844,109.29498291015625
1,11,160.84567260742188,160.84567260742188
1,12,66.68094635009766,35.237003326416016
1,13,92.66178131103516,66.03190612792969
1,14,54.130672454833984,24.35804557800293
1,15,177.3144073486328,96.3235855102539
2,0,207.62046813964844,180.04344177246094
2,1,160.84567260742188,159.3094024658203
2,2,66.68094635009766,54.870182037353516
2,3,92.66178131103516,90.23881530761719
2,4,54.130672454833984,48.33251953125
2,5,177.3144073486328,177.3144073486328
2,6,5.365104675292969,5.365104675292969
2,7,37.40047073364258,26.732912063598633
2,8,34.841434478759766,34.841434478759766
2,9,15.548050880432129,15.548050880432129
2,10,207.62046813964844,180.04344177246094
2,11,160.84567260742188,159.3094024658203
2,12,66.68094635009766,54.870182037353516
2,13,92.66178131103516,90.23881530761719
2,14,54.130672454833984,48.33251953125
2,15,177.3144073486328,177.3144073486328
3,0,207.62046813964844,207.62046813964844
3,1,160.84567260742188,152.39894104003906
3,2,66.68094635009766,66.68094635009766
3,3,92.66178131103516,92.66178131103516
3,4,54.130672454833984,54.130672454833984
